id	text	cat
1395	Alas, 'tis true I have gone here and there	s
1396	And made myself a motley to the view,	s
1397	Made old offences of affections new;	s
1398	Most true it is that I have look'd on truth	s
1399	Askance and strangely: but, by all above,	s
1400	These blenches gave my heart another youth,	s
1401	And worse essays proved thee my best of love.	s
1402	Now all is done, have what shall have no end:	s
1403	Mine appetite I never more will grind	s
1404	Came there for cure, and this by that I prove,	s
1405	A god in love, to whom I am confined.	s
1406	Then give me welcome, next my heaven the best,	s
1407	Even to thy pure and most most loving breast.	s
1408	O, for my sake do you with Fortune chide,	s
1409	The guilty goddess of my harmful deeds,	s
1410	That did not better for my life provide	s
1411	Than public means which public manners breeds.	s
1412	Thence comes it that my name receives a brand,	s
1413	And almost thence my nature is subdued	s
1414	To what it works in, like the dyer's hand:	s
1415	Pity me then and wish I were renew'd;	s
1416	Whilst, like a willing patient, I will drink	s
1417	My tongue-tied Muse in manners holds her still,	s
1418	No bitterness that I will bitter think,	s
1419	Nor double penance, to correct correction.	s
1420	Pity me then, dear friend, and I assure ye	s
1421	Even that your pity is enough to cure me.	s
1422	To swear against the truth so foul a lie!	s
1423	Which vulgar scandal stamp'd upon my brow;	s
1424	For what care I who calls me well or ill,	s
1425	So you o'er-green my bad, my good allow?	s
1426	You are my all the world, and I must strive	s
1427	To know my shames and praises from your tongue:	s
1428	None else to me, nor I to none alive,	s
1429	That my steel'd sense or changes right or wrong.	s
1430	In so profound abysm I throw all care	s
1431	Of others' voices, that my adder's sense	s
1432	To critic and to flatterer stopped are.	s
1433	Mark how with my neglect I do dispense:	s
1434	You are so strongly in my purpose bred	s
1435	That all the world besides methinks are dead.	s
1436	Since I left you, mine eye is in my mind;	s
1437	And that which governs me to go about	s
1438	Doth part his function and is partly blind,	s
1439	Thine, by thy beauty being false to me.	s
1440	Buy terms divine in selling hours of dross;	s
1441	Of bird of flower, or shape, which it doth latch:	s
1442	Who taught thee how to make me love thee more	s
1443	From heaven to hell is flown away;	s
1444	For if it see the rudest or gentlest sight,	s
1445	The most sweet favour or deformed'st creature,	s
1446	Dost thou upon thy fading mansion spend?	s
1447	With all triumphant splendor on my brow;	s
1448	Incapable of more, replete with you,	s
1449	My most true mind thus makes mine eye untrue.	s
1450	Or whether doth my mind, being crown'd with you,	s
1451	Drink up the monarch's plague, this flattery?	s
1452	The more I hear and see just cause of hate?	s
1453	And that your love taught it this alchemy,	s
1454	To make of monsters and things indigest	s
1455	Such cherubins as your sweet self resemble,	s
1456	Creating every bad a perfect best,	s
1457	No want of conscience hold it that I call	s
1458	O,'tis the first; 'tis flattery in my seeing,	s
1459	And my great mind most kingly drinks it up:	s
1460	Mine eye well knows what with his gust is 'greeing,	s
1461	And to his palate doth prepare the cup:	s
1462	If it be poison'd, 'tis the lesser sin	s
1463	That mine eye loves it and doth first begin.	s
1464	Those lines that I before have writ do lie,	s
1465	Even those that said I could not love you dearer:	s
1466	Yet then my judgment knew no reason why	s
1467	My most full flame should afterwards burn clearer.	s
1468	But reckoning time, whose million'd accidents	s
1469	Creep in 'twixt vows and change decrees of kings,	s
1470	Tan sacred beauty, blunt the sharp'st intents,	s
1471	Hath left me, and I desperate now approve	s
1472	Alas, why, fearing of time's tyranny,	s
1473	Might I not then say 'Now I love you best,'	s
1474	When I was certain o'er incertainty,	s
1475	Crowning the present, doubting of the rest?	s
1476	Love is a babe; then might I not say so,	s
1477	To give full growth to that which still doth grow?	s
1478	Let me not to the marriage of true minds	s
1479	Admit impediments. Love is not love	s
1480	Which alters when it alteration finds,	s
1481	Or bends with the remover to remove:	s
1482	O no! it is an ever-fixed mark	s
1483	That looks on tempests and is never shaken;	s
1484	Love's not Time's fool, though rosy lips and cheeks	s
1485	Within his bending sickle's compass come:	s
1486	Love alters not with his brief hours and weeks,	s
1487	If this be error and upon me proved,	s
1488	I never writ, nor no man ever loved.	s
1489	Accuse me thus: that I have scanted all	s
1490	Wherein I should your great deserts repay,	s
1491	Tempteth my better angel from my side,	s
1492	Whereto all bonds do tie me day by day;	s
1493	And given to time your own dear-purchased right	s
1494	That I have hoisted sail to all the winds	s
1495	Which should transport me farthest from your sight.	s
1496	Book both my wilfulness and errors down	s
1497	And on just proof surmise accumulate;	s
1498	Bring me within the level of your frown,	s
1499	But shoot not at me in your waken'd hate;	s
1500	Since my appeal says I did strive to prove	s
1501	The constancy and virtue of your love.	s
1502	Like as, to make our appetites more keen,	s
1503	With eager compounds we our palate urge,	s
1504	As, to prevent our maladies unseen,	s
1505	We sicken to shun sickness when we purge,	s
1506	Even so, being full of your ne'er-cloying sweetness,	s
1507	To bitter sauces did I frame my feeding	s
1508	And, sick of welfare, found a kind of meetness	s
1509	To be diseased ere that there was true needing.	s
1510	Thus policy in love, to anticipate	s
1511	The ills that were not, grew to faults assured	s
1512	And brought to medicine a healthful state	s
1513	Which, rank of goodness, would by ill be cured:	s
1514	Now counting best to be with you alone,	s
1515	Drugs poison him that so fell sick of you.	s
1516	Distill'd from limbecks foul as hell within,	s
1517	Applying fears to hopes and hopes to fears,	s
1518	Still losing when I saw myself to win!	s
1519	What wretched errors hath my heart committed,	s
1520	Whilst it hath thought itself so blessed never!	s
1521	How have mine eyes out of their spheres been fitted	s
1522	In the distraction of this madding fever!	s
1523	O benefit of ill! now I find true	s
1524	That better is by evil still made better;	s
1525	My nobler part to my gross body's treason;	s
1526	Grows fairer than at first, more strong, far greater.	s
1527	So I return rebuked to my content	s
1528	And gain by ill thrice more than I have spent.	s
1529	That you were once unkind befriends me now,	s
1530	And for that sorrow which I then did feel	s
1531	Needs must I under my transgression bow,	s
1532	Unless my nerves were brass or hammer'd steel.	s
1533	For if you were by my unkindness shaken	s
1534	As I by yours, you've pass'd a hell of time,	s
1535	And I, a tyrant, have no leisure taken	s
1536	O, that our night of woe might have remember'd	s
1537	My deepest sense, how hard true sorrow hits,	s
1538	And soon to you, as you to me, then tender'd	s
1539	And each, though enemies to either's reign,	s
1540	But that your trespass now becomes a fee;	s
1541	Mine ransoms yours, and yours must ransom me.	s
1542	'Tis better to be vile than vile esteem'd,	s
1543	When not to be receives reproach of being,	s
1544	And the just pleasure lost which is so deem'd	s
1545	Thyself away art resent still with me;	s
1546	For why should others false adulterate eyes	s
1547	Give salutation to my sportive blood?	s
1548	Or on my frailties why are frailer spies,	s
1549	Which in their wills count bad what I think good?	s
1550	No, I am that I am, and they that level	s
1551	At my abuses reckon up their own:	s
1552	I may be straight, though they themselves be bevel;	s
1553	By their rank thoughts my deeds must not be shown;	s
1554	Unless this general evil they maintain,	s
1555	All men are bad, and in their badness reign.	s
1556	Thy gift, thy tables, are within my brain	s
1557	Full character'd with lasting memory,	s
1558	Which borrow'd from this holy fire of Love	s
1559	Beyond all date, even to eternity;	s
1560	Or at the least, so long as brain and heart	s
1561	Have faculty by nature to subsist;	s
1562	That in the very refuse of thy deeds	s
1563	Of thee, thy record never can be miss'd.	s
1564	That poor retention could not so much hold,	s
1565	Nor need I tallies thy dear love to score;	s
1566	Therefore to give them from me was I bold,	s
1567	To trust those tables that receive thee more:	s
1568	To keep an adjunct to remember thee	s
1569	Were to import forgetfulness in me.	s
1570	No, Time, thou shalt not boast that I do change:	s
1571	Thy pyramids built up with newer might	s
1572	To me are nothing novel, nothing strange;	s
1573	They are but dressings of a former sight.	s
1574	Our dates are brief, and therefore we admire	s
1575	Was it his spirit, by spirits taught to write	s
1576	And rather make them born to our desire	s
1577	Than think that we before have heard them told.	s
1578	Thy registers and thee I both defy,	s
1579	Not wondering at the present nor the past,	s
1580	O, from what power hast thou this powerful might	s
1581	Made more or less by thy continual haste.	s
1582	This I do vow and this shall ever be;	s
1583	I will be true, despite thy scythe and thee.	s
1584	If my dear love were but the child of state,	s
1585	It might for Fortune's bastard be unfather'd'	s
1586	As subject to Time's love or to Time's hate,	s
1587	Weeds among weeds, or flowers with flowers gather'd.	s
1588	No, it was builded far from accident;	s
1589	It suffers not in smiling pomp, nor falls	s
1590	Under the blow of thralled discontent,	s
1591	Whereto the inviting time our fashion calls:	s
1592	It fears not policy, that heretic,	s
1593	Which works on leases of short-number'd hours,	s
1594	But all alone stands hugely politic,	s
1595	That it nor grows with heat nor drowns with showers.	s
1596	To this I witness call the fools of time,	s
1597	Which die for goodness, who have lived for crime.	s
1598	Were 't aught to me I bore the canopy,	s
1599	With my extern the outward honouring,	s
1600	But day doth daily draw my sorrows longer	s
1601	Which prove more short than waste or ruining?	s
1602	Have I not seen dwellers on form and favour	s
1603	Lose all, and more, by paying too much rent,	s
1604	For compound sweet forgoing simple savour,	s
1605	Pitiful thrivers, in their gazing spent?	s
1606	No, let me be obsequious in thy heart,	s
1607	And take thou my oblation, poor but free,	s
1608	Which is not mix'd with seconds, knows no art,	s
1609	But mutual render, only me for thee.	s
1610	Hence, thou suborn'd informer! a true soul	s
1611	When most impeach'd stands least in thy control.	s
1612	Now with the drops of this most balmy time	s
1613	Dost hold Time's fickle glass, his sickle, hour;	s
1614	Who hast by waning grown, and therein show'st	s
1615	Thy lovers withering as thy sweet self grow'st;	s
1616	If Nature, sovereign mistress over wrack,	s
1617	As thou goest onwards, still will pluck thee back,	s
1618	She keeps thee to this purpose, that her skill	s
1619	May time disgrace and wretched minutes kill.	s
1620	Love is too young to know what conscience is;	s
1621	She may detain, but not still keep, her treasure:	s
1622	Her audit, though delay'd, answer'd must be,	s
1623	And her quietus is to render thee.	s
1624	In the old age black was not counted fair,	s
1625	Or if it were, it bore not beauty's name;	s
1626	But now is black beauty's successive heir,	s
1627	And beauty slander'd with a bastard shame:	s
1628	For since each hand hath put on nature's power,	s
1629	Fairing the foul with art's false borrow'd face,	s
1630	Sweet beauty hath no name, no holy bower,	s
1631	But is profaned, if not lives in disgrace.	s
1632	Therefore my mistress' brows are raven black,	s
1633	Her eyes so suited, and they mourners seem	s
1634	At such who, not born fair, no beauty lack,	s
1635	Slandering creation with a false esteem:	s
1636	Yet so they mourn, becoming of their woe,	s
1637	How oft, when thou, my music, music play'st,	s
1638	Upon that blessed wood whose motion sounds	s
1639	What merit do I in myself respect,	s
1640	The wiry concord that mine ear confounds,	s
1641	Do I envy those jacks that nimble leap	s
1642	To kiss the tender inward of thy hand,	s
1643	And would corrupt my saint to be a devil,	s
1644	But why of two oaths' breach do I accuse thee,	s
1645	To be so tickled, they would change their state	s
1646	And situation with those dancing chips,	s
1647	O'er whom thy fingers walk with gentle gait,	s
1648	Making dead wood more blest than living lips.	s
1649	Since saucy jacks so happy are in this,	s
1650	Give them thy fingers, me thy lips to kiss.	s
1651	At random from the truth vainly express'd;	s
1652	Is lust in action; and till action, lust	s
1653	Is perjured, murderous, bloody, full of blame,	s
1654	Savage, extreme, rude, cruel, not to trust,	s
1655	Enjoy'd no sooner but despised straight,	s
1656	Past reason hunted, and no sooner had	s
1657	Past reason hated, as a swallow'd bait	s
1658	On purpose laid to make the taker mad;	s
1659	Mad in pursuit and in possession so;	s
1660	Had, having, and in quest to have, extreme;	s
1661	A bliss in proof, and proved, a very woe;	s
1662	Before, a joy proposed; behind, a dream.	s
1663	All this the world well knows; yet none knows well	s
1664	To shun the heaven that leads men to this hell.	s
1665	The uncertain sickly appetite to please.	s
1666	Coral is far more red than her lips' red;	s
1667	If snow be white, why then her breasts are dun;	s
1668	For men diseased; but I, my mistress' thrall,	s
1669	I have seen roses damask'd, red and white,	s
1670	But no such roses see I in her cheeks;	s
1671	And in some perfumes is there more delight	s
1672	Than in the breath that from my mistress reeks.	s
1673	I love to hear her speak, yet well I know	s
1674	I grant I never saw a goddess go;	s
1675	My mistress, when she walks, treads on the ground:	s
1676	And yet, by heaven, I think my love as rare	s
1677	As any she belied with false compare.	s
1678	In act thy bed-vow broke and new faith torn,	s
1679	As those whose beauties proudly make them cruel;	s
1680	For well thou know'st to my dear doting heart	s
1681	Thou art the fairest and most precious jewel.	s
1682	The little Love-god lying once asleep	s
1683	Thy face hath not the power to make love groan:	s
1684	To say they err I dare not be so bold,	s
1685	Although I swear it to myself alone.	s
1686	And, to be sure that is not false I swear,	s
1687	A thousand groans, but thinking on thy face,	s
1688	One on another's neck, do witness bear	s
1689	Thy black is fairest in my judgment's place.	s
1690	In nothing art thou black save in thy deeds,	s
1691	And thence this slander, as I think, proceeds.	s
1692	Thine eyes I love, and they, as pitying me,	s
1693	Knowing thy heart torments me with disdain,	s
1694	Have put on black and loving mourners be,	s
1695	Looking with pretty ruth upon my pain.	s
1696	And truly not the morning sun of heaven	s
1697	Better becomes the grey cheeks of the east,	s
1698	Nor that full star that ushers in the even	s
1699	Doth half that glory to the sober west,	s
1700	As those two mourning eyes become thy face:	s
1701	O, let it then as well beseem thy heart	s
1702	Growing a bath and healthful remedy	s
1703	And suit thy pity like in every part.	s
1704	Then will I swear beauty herself is black	s
1705	And all they foul that thy complexion lack.	s
1706	Beshrew that heart that makes my heart to groan	s
1707	For that deep wound it gives my friend and me!	s
1708	If thou turn back, and my loud crying still.	s
1709	But slave to slavery my sweet'st friend must be?	s
1710	And my next self thou harder hast engross'd:	s
1711	Of him, myself, and thee, I am forsaken;	s
1712	A torment thrice threefold thus to be cross'd.	s
1713	For I have sworn thee fair; more perjured eye,	s
1714	But then my friend's heart let my poor heart bail;	s
1715	Whoe'er keeps me, let my heart be his guard;	s
1716	Thou canst not then use rigor in my gaol:	s
1717	And yet thou wilt; for I, being pent in thee,	s
1718	What means the world to say it is not so?	s
1719	So, now I have confess'd that he is thine,	s
1720	And I myself am mortgaged to thy will,	s
1721	Myself I'll forfeit, so that other mine	s
1722	Thou wilt restore, to be my comfort still:	s
1723	But thou wilt not, nor he will not be free,	s
1724	For thou art covetous and he is kind;	s
1725	He learn'd but surety-like to write for me	s
1726	Under that bond that him as fast doth bind.	s
1727	The statute of thy beauty thou wilt take,	s
1728	Thou usurer, that put'st forth all to use,	s
1729	Since first I saw you fresh, which yet are green.	s
1730	So him I lose through my unkind abuse.	s
1731	Him have I lost; thou hast both him and me:	s
1732	He pays the whole, and yet am I not free.	s
1733	Whoever hath her wish, thou hast thy 'Will,'	s
1734	To thee I send this written embassage,	s
1735	More than enough am I that vex thee still,	s
1736	To thy sweet will making addition thus.	s
1737	Wilt thou, whose will is large and spacious,	s
1738	Not once vouchsafe to hide my will in thine?	s
1739	Shall will in others seem right gracious,	s
1740	And in my will no fair acceptance shine?	s
1741	The sea all water, yet receives rain still	s
1742	And in abundance addeth to his store;	s
1743	So thou, being rich in 'Will,' add to thy 'Will'	s
1744	One will of mine, to make thy large 'Will' more.	s
1745	Let no unkind, no fair beseechers kill;	s
1746	Think all but one, and me in that one 'Will.'	s
1747	If thy soul check thee that I come so near,	s
1748	Swear to thy blind soul that I was thy 'Will,'	s
1749	So shalt thou feed on Death, that feeds on men,	s
1750	Thus far for love my love-suit, sweet, fulfil.	s
1751	'Will' will fulfil the treasure of thy love,	s
1752	Ay, fill it full with wills, and my will one.	s
1753	In things of great receipt with ease we prove	s
1754	Among a number one is reckon'd none:	s
1755	That heals the wound and cures not the disgrace:	s
1756	Though in thy stores' account I one must be;	s
1757	For nothing hold me, so it please thee hold	s
1758	That nothing me, a something sweet to thee:	s
1759	And then thou lovest me, for my name is 'Will.'	s
1760	Thou blind fool, Love, what dost thou to mine eyes,	s
1761	That they behold, and see not what they see?	s
1762	They know what beauty is, see where it lies,	s
1763	Yet what the best is take the worst to be.	s
1764	If eyes corrupt by over-partial looks	s
1765	Be anchor'd in the bay where all men ride,	s
1766	Why of eyes' falsehood hast thou forged hooks,	s
1767	From hence your memory death cannot take,	s
1768	Why should my heart think that a several plot	s
1769	Which my heart knows the wide world's common place?	s
1770	Or mine eyes seeing this, say this is not,	s
1771	To put fair truth upon so foul a face?	s
1772	In things right true my heart and eyes have erred,	s
1773	And to this false plague are they now transferr'd.	s
1774	Since what he owes thee thou thyself dost pay.	s
1775	I do believe her, though I know she lies,	s
1776	That she might think me some untutor'd youth,	s
1777	Unlearned in the world's false subtleties.	s
1778	Thus vainly thinking that she thinks me young,	s
1779	Although she knows my days are past the best,	s
1780	Simply I credit her false speaking tongue:	s
1781	On both sides thus is simple truth suppress'd.	s
1782	Yet be most proud of that which I compile,	s
1783	O, love's best habit is in seeming trust,	s
1784	And age in love loves not to have years told:	s
1785	Therefore I lie with her and she with me,	s
1786	And in our faults by lies we flatter'd be.	s
1787	O, call not me to justify the wrong	s
1788	That thy unkindness lays upon my heart;	s
1789	Wound me not with thine eye but with thy tongue;	s
1790	Use power with power and slay me not by art.	s
1791	Tell me thou lovest elsewhere, but in my sight,	s
1792	Dear heart, forbear to glance thine eye aside:	s
1793	What need'st thou wound with cunning when thy might	s
1794	Is more than my o'er-press'd defense can bide?	s
1795	Let me excuse thee: ah! my love well knows	s
1796	Her pretty looks have been mine enemies,	s
1797	And therefore from my face she turns my foes,	s
1798	Yet do not so; but since I am near slain,	s
1799	Kill me outright with looks and rid my pain.	s
1800	Be wise as thou art cruel; do not press	s
1801	My tongue-tied patience with too much disdain;	s
1802	Lest sorrow lend me words and words express	s
1803	The manner of my pity-wanting pain.	s
1804	If I might teach thee wit, better it were,	s
1805	Though not to love, yet, love, to tell me so;	s
1806	As testy sick men, when their deaths be near,	s
1807	No news but health from their physicians know;	s
1808	For if I should despair, I should grow mad,	s
1809	And in my madness might speak ill of thee:	s
1810	Now this ill-wresting world is grown so bad,	s
1811	Mad slanderers by mad ears believed be,	s
1812	That I may not be so, nor thou belied,	s
1813	Bear thine eyes straight, though thy proud heart go wide.	s
1814	In faith, I do not love thee with mine eyes,	s
1815	For they in thee a thousand errors note;	s
1816	But 'tis my heart that loves what they despise,	s
1817	Who in despite of view is pleased to dote;	s
1818	Nor are mine ears with thy tongue's tune delighted,	s
1819	Nor tender feeling, to base touches prone,	s
1820	Nor taste, nor smell, desire to be invited	s
1821	To any sensual feast with thee alone:	s
1822	But my five wits nor my five senses can	s
1823	Dissuade one foolish heart from serving thee,	s
1824	Who leaves unsway'd the likeness of a man,	s
1825	Thy proud hearts slave and vassal wretch to be:	s
1826	Only my plague thus far I count my gain,	s
1827	That she that makes me sin awards me pain.	s
1828	Love is my sin and thy dear virtue hate,	s
1829	Hate of my sin, grounded on sinful loving:	s
1830	O, but with mine compare thou thine own state,	s
1831	And thou shalt find it merits not reproving;	s
1832	Or, if it do, not from those lips of thine,	s
1833	That have profaned their scarlet ornaments	s
1834	And frantic-mad with evermore unrest;	s
1835	Robb'd others' beds' revenues of their rents.	s
1836	Be it lawful I love thee, as thou lovest those	s
1837	Whom thine eyes woo as mine importune thee:	s
1838	Root pity in thy heart, that when it grows	s
1839	Thy pity may deserve to pitied be.	s
1840	If thou dost seek to have what thou dost hide,	s
1841	By self-example mayst thou be denied!	s
1842	Lo! as a careful housewife runs to catch	s
1843	One of her feather'd creatures broke away,	s
1844	Whereto the judgment of my heart is tied?	s
1845	In pursuit of the thing she would have stay,	s
1846	Whilst her neglected child holds her in chase,	s
1847	Cries to catch her whose busy care is bent	s
1848	To follow that which flies before her face,	s
1849	Not prizing her poor infant's discontent;	s
1850	So runn'st thou after that which flies from thee,	s
1851	If that be fair whereon my false eyes dote,	s
1852	But if thou catch thy hope, turn back to me,	s
1853	And play the mother's part, kiss me, be kind:	s
1854	So will I pray that thou mayst have thy 'Will,'	s
1855	Has checked the outlaw's way ; 	b
1856	Ah ! my dear father, tell me why ? 	b
1857	But what shall brave the deep, deep waves 	b
1858	And gives the waves a brighter blue, 	b
1859	Stooped, and raised his languid head ; 	b
1860	Subdue this quenchless will ! ' 	b
1861	He felt for all the beauty there. 	b
1862	Turn back, from that tempestuous surge, 	b
1863	Before it fades away ! 	b
1864	When winter winds were wild . 	b
1865	Warm and bright on Arden's lake 	b
1866	All my life's bliss from thy dear life was given, 	b
1867	Who motionless is laid . . . 	b
1868	Of southern waters breaking to the wind, 	b
1869	And laughter sink into a sigh, 	b
1870	Their sunlit isles of paradise, 	b
1871	The vain man smile, the fool deride, 	b
1872	4 This is my home where whirlwinds blow, 	b
1873	1 'd call forth the glorious chorus again 	b
1874	With blood on his hand that he wept to have shed ? 	b
1875	The space between is all forgot, 	b
1876	* But, I '11 not fear, I will not weep 	b
1877	Oh, stars, and dreams, and gentle night ; 	b
1878	I have one rite a gentle kiss ; 	b
1879	When those who were thy own compeers, 	b
1880	All Nature's million mysteries, 	b
1881	To reach, at last, the eternal home, 	b
1882	Was flitting o'er me evermore. 	b
1883	But something whispers to my mind, 	b
1884	What though the stars and fair moonlight 	b
1885	And who with unregretful eyes 	b
1886	But sweet was the slight and spicy smell 	b
1887	Opening its ports for me and mine ; 	b
1888	Implored to change for senseless rest 	b
1889	How still, how happy ! These are words 	b
1890	And what is thine that it should prove 	b
1891	And fresh winds shook the door ; 	b
1892	That I shall greet them ne'er again ! ' 	b
1893	Dare not indulge in memory's rapturous pain ; 	b
1894	And conquered good and conquering ill 	b
1895	Gladly to see his gory sun 	b
1896	Nay, smile to hear Death's billows rave- 	b
1897	Is human love so true ? 	b
1898	The strength of eyesight to restore 	b
1899	My monarch died to rule for ever 	b
1900	Unawed, the darkness of the grave ? 	b
1901	Which wilder visions muster'd to my mind ; 	b
1902	Clothe in blood its sovereign's prayer. 	b
1903	Hark ! listen to the distant gun 	b
1904	Yet vainly flowed the calmer wave 	b
1905	None need point the princely victim, 	b
1906	* And now, 'mid northern mountains lone 	b
1907	Are warring night and day ; 	b
1908	From those brown hills, have melted into spring : 	b
1909	On the shady side reclined 	b
1910	On antique roof and hoary tree, 	b
1911	That flush of roseate light, 	b
1912	None but me beheld him dying, 	b
1913	No ; 'twas not the flowery plain : 	b
1914	Has Almadore in battle bled ! 	b
1915	The yells, the groans, the frenzied gladness, 	b
1916	Their careless young eyes are closed in sleeping ; 	b
1917	T' escape from labour's tyrant power 	b
1918	November's gusts unheeded call ; 	b
1919	Doth he not rather roam ? 	b
1920	And glowed both roof and floor ; 	b
1921	And not one of all my lays 	b
1922	1 Ice has barred the Arctic waters, 	b
1923	The future fills me with dismay ; 	b
1924	Felt, but unseen, the damp dewdrops fall. 	b
1925	From those eternal waves that surge below. 	b
1926	Rattled against an old vault's rail. 	b
1927	When that grim concave frowned above, 	b
1928	A thoughtful spirit taught me soon, 	b
1929	There if he can to die alone ? ' 	b
1930	When it has worn through many a week 	b
1931	Because thy soul is clear ; 	b
1932	For ever triumphing : 	b
1933	Too truly agonised to weep, 	b
1934	Through wind and ocean's roar, 	b
1935	The face, all deadly fair, 	b
1936	Winds take a pensive tone, and stars a tender fire, 	b
1937	AH ! why, because the dazzling sun 	b
1938	But voiceless silence everywhere. 	b
1939	December's sullen time ! 	b
1940	Hope soothes me in the griefs I know ; 	b
1941	Can rob us of the past. 	b
1942	That now I cannot feel ! 	b
1943	That Death he took a certain aim, 	b
1944	The grave is drear, but they are not there : 	b
1945	Away, away, resign thee now 	b
1946	How every drift in their glens profound 	b
1947	Or bless not me with heaven ! * 	b
1948	There is no need of other sound 	b
1949	Of youth's delight, when youth is past, 	b
1950	Day by day some dreary token 	b
1951	But hope is dead for him. 	b
1952	She scarcely feels the flow ; 	b
1953	Faltering, faint, and ready to die. 	b
1954	Begins another voyage nay, they 're gone ; 	b
1955	1 see them foaming high ; 	b
1956	Before their hearts went wandering wrong, 	b
1957	From tracking farther day by day, 	b
1958	Day breathes such beauty over earth and sky, 	b
1959	Raised on my pillow, to descry 	b
1960	And, in the red fire's cheerful glow, 	b
1961	And Lord Eldred glancing round, 	b
1962	And thou false friend and treacherous guide 	b
1963	And never radiant bow could be 	b
1964	Drinks tears, instead of dew ; 	b
1965	A winter sunset in the west 	b
1966	A faithless heart to thee ? 	b
1967	And let Thy holy Spirit shine 	b
1968	Darken that triumphant eye ! 	b
1969	Blood-red, he rose, and, arrow-straight, 	b
1970	Where tears and mourning cannot come. 	b
1971	That wander down to drink the tide. 	b
1972	Enough if storms have bowed his head, 	b
1973	Even Memory's voice grew dim ; 	b
1974	For round their hearths they'll tell this 	b
1975	Yet, loved one, it must be : 	b
1976	More drear I cannot be ! 	b
1977	Those sad relics scattered round ; 	b
1978	The giant sons of Anakim 	b
1979	Sweet, how softly sweet it came 	b
1980	And all around his youthful brow 	b
1981	With alien breezes sadly blent. 	b
1982	All her cherished hopes should wane, 	b
1983	SWART steed of night, thou hast charged thy last 	b
1984	Its face is fair divinely fair ; 	b
1985	It will not, cannot rise ; 	b
1986	But if that night bring only sleep, 	b
1987	Deep in unknown eternity ; 	b
1988	How could I seek the empty world again ? 	b
1989	My eyes are full of tears, 	b
1990	No later light has lightened up my heaven, 	b
1991	Where evening closes dark and chill ; 	b
1992	The soul to feel the flesh, and the flesh to feel the 	b
1993	Concludes thy musing once again ? 	b
1994	' O DAY ! he cannot die 	b
1995	To breathe its bliss on me ; 	b
1996	Through this false world, their all had 	b
1997	The stream in silence sang once more 	b
1998	And woke her with a sudden song ; 	b
1999	Roderic, for thee shall never rise ! 	b
2000	With my consoling tear? 	b
2001	To the enduring seas 	b
2002	THE ABSENT ONE 	b
2003	O then another daybreak 	b
2004	And grew in another bed ; 	b
2005	1 Oh, for the time when I shall sleep 	b
2006	DREAM, where art thou now ? 	b
2007	Such tears as I weep it is not so ! 	b
2008	And voiceless, soulless, messenger, 	b
2009	O gallant horse, hold on thy course ; 	b
2010	But still they gave no certain token 	b
2011	The captive raised her face ; it was as soft and 	b
2012	To the deadliest press of the gathering fight 	b
2013	Though not because my heart is tame, 	b
2014	' And why should we be glad at all ? 	b
2015	Oh, for the day, when I shall rest, 	b
2016	Weaned my young soul from yearning after thine ; 	b
2017	1 And thou art gone with all thy pride ; 	b
2018	They were clothed in savage attire ; 	b
2019	For the woe I could not bear 	b
2020	Than other love, more true? 	b
2021	Must always fade, and always cloy : 	b
2022	One long look, that sore reproved me 	b
2023	I am thinking of my latest shock, 	b
2024	For now might Faith decay. 	b
2025	Sit beneath the ancient thorn. 	b
2026	And morning's beams will rise as drear. 	b
2027	Their happy souls are gone to God I 	b
2028	Buried in a hapless tomb. 	b
2029	Clouded, even as they would weep. 	b
2030	And, while the wide earth echoing rung 	b
2031	I ne'er had raised this coward cry 	b
2032	To leave our children slaves ! 	b
2033	She heard the river's restless wave 	b
2034	The vast crowds vanished every one ; 	b
2035	And 'mid flowery, smiling plains ; 	b
2036	That we may overflow the sky 	b
2037	I shall smile when wreaths of snow 	b
2038	Till the tufted leaves of the garden bower 	b
2039	But not of wail for men ! 	b
2040	Ah ! no : with louder sound 	b
2041	Gone by as if they 'd never been ; 	b
2042	No ; turn towards the western side. 	b
2043	Or unreal phantoms of distress ! 	b
2044	Her spirit is the unfathomed lake 	b
2045	Adoring virtue's distant star. 	b
2046	ON a sunny brae alone I lay 	b
2047	Wrought up in rain and wailing wind : 	b
2048	Youthful he seemed but worn as they 	b
2049	THE evening sun was sinking down 	b
2050	Exhausted with repinings vain, 	b
2051	The grass-grown grave, did lie, 	b
2052	Daughter divine ! and could his gaze 	b
2053	Where will these bright things be ? 	b
2054	The grand remains of ancient state. 	b
2055	And, all for listening, never sleep. 	b
2056	In all His works displayed. 	b
2057	To greet the general glow. 	b
2058	With a wild and passing thrill, 	b
2059	Are shadowed by her hand at last 	b
2060	grant thy prayer ? 	b
2061	To wander through the snow. 	b
2062	Nor ever let my spirit tire, 	b
2063	And while on that reflected face 	b
2064	And cold suspicion never rise ; 	b
2065	Where thou, and I, and Liberty, 	b
2066	Burned within the avenging flame : 	b
2067	It is but thought full many a night 	b
2068	For them a thousand hopes remain, 	b
2069	The evening comes before the noon, 	b
2070	With heart as summer sunshine light 	b
2071	A wanderer o'er the Atlantic main ; 	b
2072	Till sorrow's source were dry, 	b
2073	Could that sacrifice have purchased 	b
2074	Its green boughs in the breezy sky. 	b
2075	And cheek almost as white as death, 	b
2076	Was it with the fields of green, 	b
2077	Have long forgot their vow ; 	b
